00:10:01.633 [main] INFO  com.wakedata.whx.App - ee
00:10:01.635 [main] ERROR com.wakedata.whx.App - tt
00:10:16.267 [main] INFO  c.w.whx.state.FlinkStateTestFunction - Abc
00:10:16.417 [main] INFO  o.a.f.r.t.TaskExecutorResourceUtils - The configuration option taskmanager.cpu.cores required for local execution is not set, setting it to the maximal possible value.
00:10:16.419 [main] INFO  o.a.f.r.t.TaskExecutorResourceUtils - The configuration option taskmanager.memory.task.heap.size required for local execution is not set, setting it to the maximal possible value.
00:10:16.419 [main] INFO  o.a.f.r.t.TaskExecutorResourceUtils - The configuration option taskmanager.memory.task.off-heap.size required for local execution is not set, setting it to the maximal possible value.
00:10:16.420 [main] INFO  o.a.f.r.t.TaskExecutorResourceUtils - The configuration option taskmanager.memory.network.min required for local execution is not set, setting it to its default value 64 mb.
00:10:16.421 [main] INFO  o.a.f.r.t.TaskExecutorResourceUtils - The configuration option taskmanager.memory.network.max required for local execution is not set, setting it to its default value 64 mb.
00:10:16.421 [main] INFO  o.a.f.r.t.TaskExecutorResourceUtils - The configuration option taskmanager.memory.managed.size required for local execution is not set, setting it to its default value 128 mb.
00:10:16.440 [main] INFO  o.a.f.r.minicluster.MiniCluster - Starting Flink Mini Cluster
00:10:16.442 [main] INFO  o.a.f.r.minicluster.MiniCluster - Starting Metrics Registry
00:10:16.491 [main] INFO  o.a.f.r.metrics.MetricRegistryImpl - No metrics reporter configured, no metrics will be exposed/reported.
00:10:16.491 [main] INFO  o.a.f.r.minicluster.MiniCluster - Starting RPC Service(s)
00:10:16.785 [main] INFO  o.a.f.r.rpc.akka.AkkaRpcServiceUtils - Trying to start local actor system
00:10:17.477 [flink-akka.actor.default-dispatcher-3] INFO  akka.event.slf4j.Slf4jLogger - Slf4jLogger started
00:10:17.711 [main] INFO  o.a.f.r.rpc.akka.AkkaRpcServiceUtils - Actor system started at akka://flink
00:10:17.728 [main] INFO  o.a.f.r.rpc.akka.AkkaRpcServiceUtils - Trying to start local actor system
00:10:17.747 [flink-metrics-2] INFO  akka.event.slf4j.Slf4jLogger - Slf4jLogger started
00:10:17.807 [main] INFO  o.a.f.r.rpc.akka.AkkaRpcServiceUtils - Actor system started at akka://flink-metrics
00:10:17.829 [main] INFO  o.a.f.r.rpc.akka.AkkaRpcService - Starting RPC endpoint for org.apache.flink.runtime.metrics.dump.MetricQueryService at akka://flink-metrics/user/rpc/MetricQueryService .
00:10:17.944 [main] INFO  o.a.f.r.minicluster.MiniCluster - Starting high-availability services
00:10:17.958 [main] INFO  o.a.flink.runtime.blob.BlobServer - Created BLOB server storage directory /var/folders/8m/cl03ysjs53v9rvd7hhdj4g540000gn/T/blobStore-b09fdc66-471c-43e6-a74b-ce7b073bcf08
00:10:17.967 [main] INFO  o.a.flink.runtime.blob.BlobServer - Started BLOB server at 0.0.0.0:51474 - max concurrent requests: 50 - max backlog: 1000
00:10:17.976 [main] INFO  o.a.f.r.blob.PermanentBlobCache - Created BLOB cache storage directory /var/folders/8m/cl03ysjs53v9rvd7hhdj4g540000gn/T/blobStore-494363d4-8637-479d-951e-5b37027b853a
00:10:17.977 [main] INFO  o.a.f.r.blob.TransientBlobCache - Created BLOB cache storage directory /var/folders/8m/cl03ysjs53v9rvd7hhdj4g540000gn/T/blobStore-30389a08-4ba8-4a1d-979e-abb9c8cca300
